gestational day,q0.01,q0.02,q0.03,q0.04,q0.05,q0.06,q0.07,q0.08,q0.09,q0.1,q0.11,q0.12,q0.13,q0.14,q0.15,q0.16,q0.17,q0.18,q0.19,q0.2,q0.21,q0.22,q0.23,q0.24,q0.25,q0.26,q0.27,q0.28,q0.29,q0.3,q0.31,q0.32,q0.33,q0.34,q0.35,q0.36,q0.37,q0.38,q0.39,q0.4,q0.41,q0.42,q0.43,q0.44,q0.45,q0.46,q0.47,q0.48,q0.49,q0.5,q0.51,q0.52,q0.53,q0.54,q0.55,q0.56,q0.57,q0.58,q0.59,q0.6,q0.61,q0.62,q0.63,q0.64,q0.65,q0.66,q0.67,q0.68,q0.69,q0.7,q0.71,q0.72,q0.73,q0.74,q0.75,q0.76,q0.77,q0.78,q0.79,q0.8,q0.81,q0.82,q0.83,q0.84,q0.85,q0.86,q0.87,q0.88,q0.89,q0.9,q0.91,q0.92,q0.93,q0.94,q0.95,q0.96,q0.97,q0.98,q0.99
14,72.43,74.7,75.65,76.88,78.17,79.09,79.64,80.04,80.37,80.61,80.8,80.99,81.18,81.36,81.52,81.66,81.79,81.93,82.06,82.19,82.33,82.48,82.65,82.86,83.12,83.44,83.82,84.21,84.6,84.97,85.34,85.74,86.19,86.66,87.1,87.47,87.8,88.08,88.33,88.57,88.79,89.01,89.23,89.47,89.73,90,90.3,90.61,90.93,91.24,91.55,91.86,92.18,92.5,92.82,93.14,93.45,93.75,94.05,94.38,94.7,95,95.29,95.56,95.82,96.06,96.29,96.52,96.73,96.95,97.16,97.37,97.57,97.77,97.96,98.15,98.36,98.6,98.92,99.31,99.77,100.27,100.83,101.52,102.4,103.26,103.9,104.45,105.02,105.6,106.17,106.87,107.83,108.67,109.78,110.94,111.29,112.17,120.61
14.14285714,74.49,76.91,77.91,79.19,80.54,81.5,82.1,82.53,82.89,83.17,83.39,83.61,83.82,84.02,84.2,84.36,84.52,84.66,84.81,84.95,85.11,85.27,85.46,85.68,85.95,86.28,86.66,87.06,87.46,87.83,88.21,88.62,89.08,89.55,89.99,90.38,90.71,91,91.26,91.5,91.72,91.95,92.18,92.43,92.69,92.97,93.27,93.58,93.91,94.22,94.54,94.86,95.18,95.51,95.84,96.16,96.48,96.79,97.09,97.43,97.76,98.07,98.36,98.64,98.91,99.16,99.41,99.64,99.86,100.09,100.31,100.52,100.74,100.94,101.15,101.35,101.57,101.83,102.16,102.56,103.03,103.55,104.11,104.81,105.7,106.56,107.21,107.78,108.36,108.96,109.56,110.3,111.28,112.18,113.35,114.58,115.08,116.17,124.76
14.28571429,76.6,79.18,80.25,81.58,82.99,83.99,84.63,85.1,85.49,85.81,86.07,86.31,86.55,86.77,86.98,87.16,87.33,87.49,87.65,87.81,87.98,88.16,88.36,88.59,88.87,89.21,89.6,90.01,90.41,90.79,91.18,91.6,92.06,92.54,92.98,93.37,93.71,94.01,94.27,94.52,94.76,94.99,95.23,95.48,95.74,96.03,96.33,96.65,96.98,97.3,97.63,97.95,98.28,98.61,98.95,99.28,99.6,99.92,100.24,100.58,100.91,101.23,101.54,101.83,102.1,102.37,102.62,102.86,103.1,103.33,103.55,103.78,104,104.22,104.44,104.66,104.9,105.17,105.51,105.92,106.4,106.92,107.5,108.2,109.1,109.96,110.62,111.21,111.81,112.43,113.06,113.83,114.85,115.8,117.02,118.34,119,120.3,129.06
14.42857143,78.78,81.51,82.66,84.04,85.5,86.56,87.24,87.75,88.18,88.53,88.82,89.1,89.37,89.62,89.84,90.04,90.23,90.41,90.59,90.76,90.95,91.14,91.36,91.6,91.9,92.24,92.63,93.05,93.46,93.85,94.24,94.67,95.13,95.62,96.07,96.47,96.81,97.12,97.39,97.64,97.89,98.13,98.37,98.63,98.9,99.19,99.5,99.82,100.16,100.49,100.81,101.15,101.48,101.82,102.16,102.5,102.83,103.16,103.48,103.83,104.17,104.5,104.82,105.11,105.4,105.67,105.93,106.19,106.43,106.67,106.91,107.14,107.38,107.61,107.84,108.08,108.33,108.62,108.97,109.39,109.87,110.41,111,111.71,112.6,113.47,114.15,114.74,115.37,116.01,116.67,117.48,118.53,119.54,120.82,122.22,123.05,124.57,133.49
14.57142857,81.01,83.92,85.13,86.57,88.09,89.2,89.92,90.47,90.94,91.33,91.67,91.98,92.27,92.55,92.79,93.02,93.23,93.42,93.62,93.81,94.01,94.22,94.45,94.71,95.02,95.37,95.77,96.19,96.61,97.01,97.41,97.84,98.31,98.8,99.26,99.66,100.01,100.32,100.61,100.87,101.12,101.37,101.62,101.88,102.16,102.45,102.76,103.1,103.44,103.77,104.1,104.44,104.78,105.13,105.47,105.82,106.16,106.49,106.82,107.18,107.53,107.87,108.19,108.5,108.8,109.08,109.35,109.61,109.87,110.12,110.36,110.61,110.86,111.1,111.35,111.6,111.87,112.17,112.53,112.97,113.46,114.01,114.6,115.32,116.22,117.1,117.78,118.39,119.03,119.7,120.4,121.23,122.33,123.39,124.73,126.22,127.23,128.99,138.08
14.71428571,83.31,86.39,87.68,89.17,90.76,91.92,92.69,93.28,93.79,94.22,94.6,94.94,95.27,95.57,95.84,96.09,96.32,96.54,96.75,96.96,97.18,97.4,97.65,97.92,98.24,98.6,99.01,99.44,99.86,100.27,100.67,101.11,101.59,102.09,102.55,102.96,103.32,103.64,103.92,104.19,104.45,104.71,104.96,105.23,105.52,105.82,106.13,106.47,106.82,107.15,107.49,107.84,108.19,108.54,108.89,109.24,109.59,109.93,110.27,110.64,111,111.35,111.68,112,112.31,112.6,112.88,113.15,113.41,113.67,113.93,114.19,114.44,114.7,114.97,115.23,115.52,115.84,116.22,116.66,117.16,117.72,118.33,119.05,119.95,120.83,121.52,122.15,122.81,123.51,124.24,125.11,126.24,127.37,128.77,130.35,131.55,133.56,142.8
14.85714286,85.68,88.94,90.31,91.86,93.51,94.72,95.54,96.18,96.73,97.21,97.62,98,98.36,98.69,98.99,99.26,99.51,99.75,99.98,100.21,100.44,100.69,100.95,101.24,101.56,101.93,102.35,102.78,103.21,103.63,104.05,104.49,104.97,105.48,105.94,106.36,106.73,107.05,107.35,107.63,107.89,108.15,108.42,108.69,108.98,109.29,109.61,109.95,110.3,110.65,110.99,111.34,111.7,112.05,112.42,112.77,113.13,113.48,113.83,114.2,114.57,114.93,115.27,115.6,115.92,116.23,116.52,116.8,117.07,117.34,117.61,117.87,118.14,118.42,118.7,118.98,119.28,119.62,120.01,120.47,120.98,121.54,122.16,122.89,123.79,124.68,125.38,126.02,126.7,127.43,128.2,129.1,130.28,131.46,132.93,134.6,136,138.28,147.68
15,88.11,91.56,93.02,94.62,96.34,97.61,98.48,99.16,99.76,100.28,100.74,101.15,101.54,101.9,102.23,102.53,102.8,103.06,103.31,103.56,103.81,104.07,104.35,104.66,104.99,105.37,105.8,106.24,106.67,107.1,107.52,107.98,108.46,108.97,109.44,109.87,110.24,110.57,110.88,111.16,111.44,111.71,111.98,112.26,112.55,112.87,113.19,113.54,113.9,114.25,114.6,114.96,115.32,115.68,116.05,116.41,116.78,117.14,117.5,117.87,118.25,118.62,118.98,119.32,119.65,119.96,120.26,120.56,120.84,121.12,121.4,121.68,121.96,122.25,122.54,122.84,123.17,123.52,123.93,124.39,124.92,125.49,126.12,126.85,127.76,128.64,129.36,130.02,130.72,131.47,132.28,133.22,134.44,135.68,137.22,138.98,140.59,143.14,152.71
15.14285714,90.61,94.26,95.8,97.46,99.25,100.58,101.5,102.24,102.88,103.44,103.95,104.4,104.82,105.22,105.57,105.89,106.19,106.47,106.74,107.01,107.28,107.57,107.86,108.18,108.53,108.92,109.35,109.8,110.24,110.67,111.11,111.57,112.06,112.57,113.05,113.48,113.86,114.2,114.51,114.81,115.09,115.37,115.65,115.94,116.24,116.55,116.89,117.24,117.6,117.96,118.32,118.68,119.05,119.42,119.79,120.17,120.54,120.91,121.27,121.66,122.05,122.43,122.79,123.15,123.49,123.81,124.13,124.43,124.72,125.01,125.3,125.59,125.89,126.19,126.5,126.83,127.17,127.54,127.96,128.44,128.97,129.56,130.19,130.93,131.84,132.73,133.46,134.13,134.85,135.64,136.48,137.46,138.72,140.03,141.63,143.5,145.32,148.16,157.88
15.28571429,93.18,97.04,98.67,100.39,102.25,103.64,104.62,105.4,106.09,106.7,107.25,107.75,108.2,108.63,109.02,109.37,109.69,109.99,110.28,110.57,110.86,111.17,111.48,111.82,112.18,112.58,113.02,113.47,113.92,114.36,114.8,115.27,115.77,116.28,116.77,117.21,117.59,117.94,118.26,118.57,118.86,119.14,119.43,119.73,120.03,120.35,120.69,121.05,121.42,121.78,122.15,122.52,122.89,123.27,123.65,124.03,124.41,124.79,125.17,125.56,125.96,126.35,126.72,127.09,127.44,127.78,128.1,128.42,128.72,129.03,129.33,129.63,129.94,130.26,130.59,130.93,131.29,131.68,132.12,132.61,133.15,133.74,134.39,135.14,136.05,136.94,137.68,138.37,139.11,139.93,140.81,141.83,143.13,144.51,146.18,148.15,150.2,153.33,163.21
